id,username,full_text,created_at,tweet_url
614,AustiBaker,Watching Israel in the UN. trying to justify what is happening in Palestine. Israel deserves to be driven into the desert for its current and past killings of Palestine. It would takes hours for the names of those killed in Gaza. Somebody please shut these liars up.,Tue Oct 24 15:10:01 +0000 2023,https://twitter.com/AustiBaker/status/1716834437718266363
615,Shahddsss,#Isreal #Gaza #Palestine #Gaza_Genocide,Tue Oct 24 15:10:01 +0000 2023,https://twitter.com/Shahddsss/status/1716834437382476163
618,SalmaOsama23688,@ASC1836 @fun_sheels @BarackObama Put yourself in a place where you judge them without understanding or awareness. Your home is stolen and demolished. and your family and children are killed before your eyes without any fault. Palestine is not Hamas.,Tue Oct 24 15:10:00 +0000 2023,https://twitter.com/SalmaOsama23688/status/1716834432848425356
619,ZeeBusiness,#Israel #Palestine Conflict: #Saudi Prince Condemns Israel and Hamas For Attacking Civilians  Watch Video: https://t.co/hqRMb6WMjQ,Tue Oct 24 15:10:00 +0000 2023,https://twitter.com/ZeeBusiness/status/1716834431250346330
623,diaaasha,@piersmorgan Who didn’t condemn israel for 75 years and accept its a terrorist state are not worthy of respect .  Who want you to condemn the victim are disgusting people piers . Israel doesn’t have the right to defend itself as a terrorist state. FREE PALESTINE 🇵🇸,Tue Oct 24 15:09:59 +0000 2023,https://twitter.com/diaaasha/status/1716834427899351178
636,majedbamya,Palestinian FM at Security Council: Only international law and peace are worthy of your countries’ unconditional support. More injustice. more killing will not make Israel safer. No amount of weapons. no alliance. will bring to it security. Only peace will. Peace with Palestine…,Tue Oct 24 15:09:55 +0000 2023,https://twitter.com/majedbamya/status/1716834409049997612
653,NawabooAsskzai,May Allah help Palestine🇵🇸 #Gaza_Genocide  #Gaza  #FreePalestine  #IsraelTerrorrist https://t.co/VHZM9FZ1CX,Tue Oct 24 15:09:50 +0000 2023,https://twitter.com/NawabooAsskzai/status/1716834389227966965
658,zak319451740900,HAMAS FREEDOM FIGHTERS  ARE FIGHTING NAZI RACIST ZIONIST TERRORIST GANGS AND NATO #FREE PALESTINE FROM THE RIVER TO THE SEA.,Tue Oct 24 15:09:48 +0000 2023,https://twitter.com/zak319451740900/status/1716834381904609362
662,AlinaKh06035828,To support Palestine you don't have to be a muslim. you just have to human 💔💔🇯🇴 #ArmiesToAqsa #gaza #Gaza_Genocide #اعتذار_اسرائيل #Hamas #IslamicMessagingSystem #MuslimIdentity,Tue Oct 24 15:09:46 +0000 2023,https://twitter.com/AlinaKh06035828/status/1716834374199759254
663,LuigisLogic,@mayaWSB80 @POTUS Yes because Hamas &amp  Palestine attacked Israel 🇮🇱 that’s why it’s Americas fault. The logic is evil ignorant. Bad news for everyone.,Tue Oct 24 15:09:46 +0000 2023,https://twitter.com/LuigisLogic/status/1716834372828213521
664,NaqiuddinK,Amazed by the energetic and impactful speech by PM Anwar.  Malaysia stands with humanity. Malaysia stands with peace. and Malaysia stands firmly with the people of Palestine. condemning violence and aggression by Israel! 🇵🇸,Tue Oct 24 15:09:45 +0000 2023,https://twitter.com/NaqiuddinK/status/1716834369707598184
672,AmuAlan,@Israel are the new Nazis. hell bent on the destruction of Palestine.  The Palestinians have lost their country bit by bit over the last 75 years. Do you blame for fighting back in one desperate last struggle,Tue Oct 24 15:09:44 +0000 2023,https://twitter.com/AmuAlan/status/1716834365479809502
681,Mohammed2Fadhil,It is clear. its not about Hamas. its all about genocide and wiping out Palestine to steal their land,Tue Oct 24 15:09:42 +0000 2023,https://twitter.com/Mohammed2Fadhil/status/1716834355635741178
682,neset_a7a,@SecBlinken @UN Israel has the right to defend itself. If the Palestinians defend themselves is this called terrorism? This is called double standards. Although there is no such thing as Israel. only Palestine 👇 https://t.co/u6nwM7kBsN,Tue Oct 24 15:09:41 +0000 2023,https://twitter.com/neset_a7a/status/1716834352577867858
690,s0nicattack,@JamesCleverly It's Netanyahu who does not support this.  He wants Palestine removed entirely and his government has been chipping away at this idea for 75 years.  As it was always planned back in 1948.,Tue Oct 24 15:09:39 +0000 2023,https://twitter.com/s0nicattack/status/1716834343195451468
692,Sidman123456,Stop the genocide #gaza #palestine  #Gaza_Genocide https://t.co/I9TcluvZmE,Tue Oct 24 15:09:38 +0000 2023,https://twitter.com/Sidman123456/status/1716834341542834626
696,malik_in_dc,@JamesCleverly Yes. Hamas doesn't favor a two-state solution because they're fighting to stamp out Israeli apartheid and colonialism. triggering Exodus 2.0 - from Palestine.,Tue Oct 24 15:09:37 +0000 2023,https://twitter.com/malik_in_dc/status/1716834337017266629
698,mikecarver17,@jacksonhinklle Hamas must surrender. then elections. Maybe then reasonable people can negotiate. Until then. Palestine run by religious zealots and martyrs will always be a shitshow of pain and suffering.,Tue Oct 24 15:09:37 +0000 2023,https://twitter.com/mikecarver17/status/1716834334831690223
702,Nurseairah,@MuhammadSmiry Always praying for the people of gaza Palestine 🤲🏻🥺 #FreePalestine #Gaza_Genocide,Tue Oct 24 15:09:35 +0000 2023,https://twitter.com/Nurseairah/status/1716834325822386612
703,vegan_v_vegan,Please watch this video. before you fall for the Hamas Palestine propaganda and learn in a few minutes something about #history. then read some history books. instead of reading only fake crap on the net! The history of Israel begins in the 2nd millennium BCE. NOT 1949!  #facts,Tue Oct 24 15:09:34 +0000 2023,https://twitter.com/vegan_v_vegan/status/1716834325013184796
709,catzyladymish,@calvinrobinson Watch out what you wish for.  Hamas are hiding between the innocent people of Palestine and will use your love for the Palestinians to get into other countries and cause war!,Tue Oct 24 15:09:32 +0000 2023,https://twitter.com/catzyladymish/status/1716834314179248467
715,LW_Newsblast,@AdamKinzinger WTF are you talking about? Under Biden. we’re at the verge of WW3 with Russia/Ukraine. Israel/Palestine.   Under Trump. everything was great. Peace. cost of living. national security. interest rates. military..    Seriously. what are you talking about??,Tue Oct 24 15:09:29 +0000 2023,https://twitter.com/LW_Newsblast/status/1716834303391191143
719,yaniv_11,@moonyends Are you serious? What Palestine? Never been such entity before 48. The were the British. and Othmans before that. There were Arab and Jews living together until British mandate was over. And then both of them got UN right to establish a state. Israel did it. Arabs fight till now.,Tue Oct 24 15:09:28 +0000 2023,https://twitter.com/yaniv_11/status/1716834299033370640
721,callmefree1,MEMO ON THE FINAL SOLUTION FOR ONE STATE – ISRAEL OR PALESTINE https://t.co/wXdsowcJ2v,Tue Oct 24 15:09:28 +0000 2023,https://twitter.com/callmefree1/status/1716834298475753967
722,IkaaZainuddin,oh they can send aid without having to be checked but for Palestine. they have to check one by one the aid to be delivered from outside. Israel is a TERRORIST state!,Tue Oct 24 15:09:28 +0000 2023,https://twitter.com/IkaaZainuddin/status/1716834297284616400
728,brent_whiteside,@CensoredMen Palestine stands with Hamas https://t.co/1C2VfDu9TT,Tue Oct 24 15:09:25 +0000 2023,https://twitter.com/brent_whiteside/status/1716834285779603873
739,OfficiaIRed,@HillelNeuer And Israel and the West have a shortage of empathy for the innocent people of Palestine who are the prime victims of the Israeli assault!,Tue Oct 24 15:09:21 +0000 2023,https://twitter.com/OfficiaIRed/status/1716834269551607864
743,yoommik22,Palestine has no civil rights laws that protect LGBT people from discrimination nor harassment1. According to Pew Research. 93% of the Palestinian population is completely opposed to homosexuality. a percentage among the highest in the world.,Tue Oct 24 15:09:19 +0000 2023,https://twitter.com/yoommik22/status/1716834260739313937
